users,tasks,opr
100,40,0.19286871961102106
150,40,0.11945392491467577
200,40,0.13237924865831843
250,40,0.11049723756906077
300,40,0.11787072243346007
350,40,0.0970873786407767
400,40,0.09607843137254903
450,40,0.09580838323353294
500,40,0.09418837675350701
550,40,0.09939148073022312
600,40,0.10655737704918032
650,40,0.10995850622406639
700,40,0.1092436974789916
750,40,0.10993657505285412
800,40,0.10782241014799154
850,40,0.1127659574468085
900,40,0.1101511879049676
950,40,0.10845986984815618
