users,tasks,opr
100,40,0.17810760667903525
150,40,0.12062256809338522
200,40,0.09325396825396826
250,40,0.058
300,40,0.0508130081300813
350,40,0.04897959183673469
400,40,0.04338842975206612
450,40,0.037267080745341616
500,40,0.028985507246376812
550,40,0.02074688796680498
600,40,0.014553014553014554
650,40,0.008316008316008316
700,40,0.010416666666666666
750,40,0.008333333333333333
800,40,0.008333333333333333
850,40,0.008333333333333333
900,40,0.008333333333333333
950,40,0.008333333333333333
